19,"PHILIPS GC157/02 1100 W Dry Iron(White, Blue)",1000,4.3,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/jn3hocw0/iron/b/u/v/philips-gc-157-02-gc157-02-original-imaf9vfztw5bwkfj.jpeg?q=70,homea
20,EUREKA FORBES Smart UV Water Purifier(White),5999,4.2,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/jd1z9u80/water-purifier/p/f/h/eureka-forbes-smart-uv-smart-original-imaf2fxcearx63nf.jpeg?q=70,homea
21,USHA Techne Direct 1000 920 W Garment Steamer(Green),3167,3.9,"GOODLIFE,Seller since 7years8months",https://rukminim1.flixcart.com/image/416/416/jd1z9u80/iron/t/r/q/usha-techne-direct-1000-original-imaf2fwgzetukgfr.jpeg?q=70,homea
22,Panasonic MC-DL201B14B Hand-held Vacuum Cleaner(Blue),3059,4,"Rrretail,Seller since 6years2months",https://rukminim1.flixcart.com/image/416/416/k0y6cnk0/vacuum-cleaner/w/h/d/panasonic-mc-dl201-mc-dl201-original-imafkm8dwms7xzhh.jpeg?q=70,homea
23,nexus pure JAZZ BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier(Black),6599,4.1,"NEXUS PURE COMPANY,Seller since 5years4months",https://rukminim1.flixcart.com/image/416/416/jnj7iq80/water-purifier/p/h/q/nexus-pure-jazz-black-original-imafa6zfcuxtsbfp.jpeg?q=70,homea
24,Girls Party(Festive)Top Trouser(Yellow) ,290,4,"CHANDRIKA, Since 5 Years 8 months",https://rukminim1.flixcart.com/image/800/960/kfh5ifk0/kids-apparel-combo/y/s/4/8-9-years-cpgl0034-mustard-chandrika-original-imafvwugesd9kvwb.jpeg?q=50,fash
25, Girls Casual Top Skirt(Pink),299,3.9,"NIKUNJFASHION, Since 4 Years 11 months",https://rukminim1.flixcart.com/image/800/960/jydaqa80/kids-apparel-combo/g/6/e/7-8-years-nfgc06-ftc-fashions-original-imafggm6yskgppe3.jpeg?q=50,fash
26,Girls Casual Dress Cap(Red),499,3.9,"NIKUNJFASHION, Since 4 Years 11 months",https://rukminim1.flixcart.com/image/800/960/k83dlzk0/kids-apparel-combo/a/q/u/9-10-years-rcapbluerib-ftc-fashions-original-imafq6mmvankb5ft.jpeg?q=50,fash
27,"Boys Casual, Festive and Party Shirt, Waistcoat and Pant Set",616,4,"Fashion4evers, Since 3 Years 1 month",https://rukminim1.flixcart.com/image/800/960/kj0bp8w0-0/kids-ethnic-set/t/h/i/1-2-years-01-fashion-4-ever-original-imafyzgr2z7dfnrw.jpeg?q=50,fash
28,Men Regular Fit Solid Spread Collar Casual Shirt,560,4.1,"THE FF, Since 5 Years 8 months",https://rukminim1.flixcart.com/image/800/960/k0e66q80/shirt/8/m/a/38-fw01-finivo-fashion-original-imafk7bqb6aatuqg.jpeg?q=50,fash
29,Self Design Men Hooded Neck Black T-Shirt ,188,4.1,"Adiba Fashion Factory, Since 1 Year 6 months",https://rukminim1.flixcart.com/image/800/960/kjom6q80-0/t-shirt/f/j/b/l-aff-1048black-adiba-fashion-factory-original-imafz6uenneexbf7.jpeg?q=50,fash
30,Slim Men Grey Jeans,628,3.9,"ImperialClothing, Since 6 Years 1 month",https://rukminim1.flixcart.com/image/800/960/jhavdzk0/jean/j/x/p/30-hpsjogger-lgrey-urbano-fashion-original-imaf5bzbhhvwu9by.jpeg?q=50,fash
31,Cotton Polyester Blend Printed Shirt Fabric(Unstitched),399,5,"ENJOY STORE, Since 8 months",https://rukminim1.flixcart.com/image/800/960/km57hjk0/shirt/l/t/6/free-news-paper-enjoy-fashion-original-imagf4a3uzpf8ugm.jpeg?q=50,fash
32,Women Embroided Rayon Straight Kurta(Dark Green),599,4.2,"FashionDepth, Since 6 months",https://rukminim1.flixcart.com/image/800/960/ki3gknk0-0/kurta/t/j/i/xxl-fd003-darkgreen-fashion-depth-original-imafxyqfeemv4k8u.jpeg?q=50,fash
33,"Self Design Bollywood Georgette Saree(Dark Blue, Light Blue",629,4,"FashionDay, Since 2 Years 1 month",https://rukminim1.flixcart.com/image/800/960/k4ss2a80/sari/s/e/b/free-1051b-fashion-day-original-imafnmt93zgkktmz.jpeg?q=50,fash
34,Solid Women V Neck Green T-Shirt,379,4.2,"Fashions2wear,Since 5 Years 6 months",https://rukminim1.flixcart.com/image/800/960/kj8wccw0-0/top/7/k/y/l-peach-pista-white-girl-s-stylish-designer-party-top-skybeat-original-imafyuwa2pdgm6hh.jpeg?q=50,fash
35,"Women Striped Crepe Straight Kurta(White,Black)",245,3.8,"JENCYFASHION, Since 2 Years 7 months",https://rukminim1.flixcart.com/image/800/960/k4n2avk0/kurta/8/2/h/m-mohini-black-jency-fashion-original-imafnhgad4ez8n7x.jpeg?q=50,fash
36,Women A-line Mutlicolor Dress,474,4,"T.R FASHION, Since 2 Years",https://rukminim1.flixcart.com/image/800/960/kflftzk0/dress/h/z/t/xxl-tr0046-j-g-fashion-original-imafwyxphta6wyfe.jpeg?q=50,fash
37,Full Sleeve Printed Men Sweatshirt,583,4,"FastColors, Since 6 Years 2 months",https://rukminim1.flixcart.com/image/800/960/kgmla4w0/sweatshirt/r/p/h/l-fc6039-fastcolors-original-imafwtyfw3zynjrp.jpeg?q=50,fash
38,Full Sleeve Self Design Men Sweatshirt,835,4.5,"RetailNet, Since 5 Years 1 month",https://rukminim1.flixcart.com/image/800/960/kl9rssw0/sweatshirt/s/h/9/m-adaw19ss027a-adrenex-original-imagyfnnf6ubxxv4.jpeg?q=50,fash
